benchmark,script,system,nodes,persistence_mode,time
Classics,bi-grams.sh,fractal,4,,574.342
Classics,set-diff.sh,bash,4,,643.106
Classics,set-diff.sh,ahs,4,,329.076
Classics,set-diff.sh,dish,4,,182.919
Classics,set-diff.sh,fractal,4,,183.27
Classics,sort-sort.sh,bash,4,,355.842
Classics,sort-sort.sh,ahs,4,,289.081
Classics,sort-sort.sh,dish,4,,206.306
Classics,sort-sort.sh,fractal,4,,199.23
Classics,shortest-scripts.sh,bash,4,,267.485
Classics,shortest-scripts.sh,ahs,4,,165.654
Classics,shortest-scripts.sh,dish,4,,174.144
Classics,shortest-scripts.sh,fractal,4,,174.083
Classics,nfa-regex.sh,bash,4,,3011.133
Classics,nfa-regex.sh,ahs,4,,436.27
Classics,nfa-regex.sh,dish,4,,401.278
Classics,nfa-regex.sh,fractal,4,,400.094
Classics,sort.sh,bash,4,,253.83
Classics,sort.sh,ahs,4,,102.862
Classics,sort.sh,dish,4,,119.748
Classics,sort.sh,fractal,4,,102.858
Classics,top-n.sh,bash,4,,771.69
Classics,top-n.sh,ahs,4,,459.377
Classics,top-n.sh,dish,4,,234.577
Classics,top-n.sh,fractal,4,,228.836
Classics,wf.sh,bash,4,,769.192
Classics,wf.sh,ahs,4,,464.635
Classics,wf.sh,dish,4,,239.252
Classics,wf.sh,fractal,4,,228.971
Classics,spell.sh,bash,4,,731.11
Classics,spell.sh,ahs,4,,782.863
Classics,spell.sh,dish,4,,441.066
Classics,spell.sh,fractal,4,,440.931
Classics,diff.sh,bash,4,,94.386
Classics,diff.sh,ahs,4,,374.195
Classics,diff.sh,dish,4,,52.272
Classics,diff.sh,fractal,4,,56.087
Classics,bi-grams.sh,bash,4,,1224.587
Classics,bi-grams.sh,ahs,4,,642.873
Classics,bi-grams.sh,dish,4,,579.476
Classics,bi-grams.sh,fractal,4,,572.475
Classics,set-diff.sh,bash,4,,644.288
Classics,set-diff.sh,ahs,4,,335.671
Classics,set-diff.sh,dish,4,,183.201
Classics,set-diff.sh,fractal,4,,186.081
Classics,sort-sort.sh,bash,4,,359.617
Classics,sort-sort.sh,ahs,4,,298.821
Classics,sort-sort.sh,dish,4,,206.757
Classics,sort-sort.sh,fractal,4,,188.377
Classics,shortest-scripts.sh,bash,4,,269.408
Classics,shortest-scripts.sh,ahs,4,,165.635
Classics,shortest-scripts.sh,dish,4,,171.024
Classics,shortest-scripts.sh,fractal,4,,175.653
Classics,nfa-regex.sh,fractal-m,4,,607.595
Classics,nfa-regex.sh,fractal-r,4,,603.134
Classics,sort.sh,fractal-m,4,,154.487
Classics,sort.sh,fractal-r,4,,113.397
Classics,top-n.sh,fractal-m,4,,303.714
Classics,top-n.sh,fractal-r,4,,282.544
Classics,wf.sh,fractal-m,4,,306.964
Classics,wf.sh,fractal-r,4,,282.924
Classics,spell.sh,fractal-m,4,,660.237
Classics,spell.sh,fractal-r,4,,452.418
Classics,diff.sh,fractal-m,4,,75.342
Classics,diff.sh,fractal-r,4,,59.798
Classics,bi-grams.sh,fractal-m,4,,815.839
Classics,bi-grams.sh,fractal-r,4,,585.04
Classics,set-diff.sh,fractal-m,4,,255.503
Classics,set-diff.sh,fractal-r,4,,208.376
Classics,sort-sort.sh,fractal-m,4,,260.13
Classics,sort-sort.sh,fractal-r,4,,199.236
Classics,shortest-scripts.sh,fractal-m,4,,272.795
Classics,shortest-scripts.sh,fractal-r,4,,173.625
Classics,nfa-regex.sh,fractal-m,4,,609.858
Classics,nfa-regex.sh,fractal-r,4,,603.457
Classics,sort.sh,fractal-m,4,,152.801
Classics,sort.sh,fractal-r,4,,119.738
Classics,top-n.sh,fractal-m,4,,293.369
Classics,top-n.sh,fractal-r,4,,278.117
Classics,wf.sh,fractal-m,4,,298.01
Classics,wf.sh,fractal-r,4,,277.509
Classics,spell.sh,fractal-m,4,,667.411
Classics,spell.sh,fractal-r,4,,435.945
Classics,diff.sh,fractal-m,4,,77.225
Classics,diff.sh,fractal-r,4,,57.061
Classics,bi-grams.sh,fractal-m,4,,831.129
Classics,bi-grams.sh,fractal-r,4,,584.519
Classics,set-diff.sh,fractal-m,4,,252.193
Classics,set-diff.sh,fractal-r,4,,207.447
Classics,sort-sort.sh,fractal-m,4,,272.356
Classics,sort-sort.sh,fractal-r,4,,198.44
Classics,shortest-scripts.sh,fractal-m,4,,269.491
Classics,shortest-scripts.sh,fractal-r,4,,174.288
Classics,nfa-regex.sh,fractal-m,4,,608.826
Classics,nfa-regex.sh,fractal-r,4,,605.003
Classics,sort.sh,fractal-m,4,,150.504
Classics,sort.sh,fractal-r,4,,122.001
Classics,top-n.sh,fractal-m,4,,309.776
Classics,top-n.sh,fractal-r,4,,287.088
Classics,wf.sh,fractal-m,4,,330.115
Classics,wf.sh,fractal-r,4,,280.552
Classics,spell.sh,fractal-m,4,,672.948
Classics,spell.sh,fractal-r,4,,437.316
Classics,diff.sh,fractal-m,4,,88.668
Classics,diff.sh,fractal-r,4,,56.745
Classics,bi-grams.sh,fractal-m,4,,894.744
Classics,bi-grams.sh,fractal-r,4,,578.438
Classics,set-diff.sh,fractal-m,4,,255.046
Classics,set-diff.sh,fractal-r,4,,207.948
Classics,sort-sort.sh,fractal-m,4,,356.557
Classics,sort-sort.sh,fractal-r,4,,221.444
Classics,shortest-scripts.sh,fractal-m,4,,271.465
Classics,shortest-scripts.sh,fractal-r,4,,176.475
NLP,1syllable_words;6_4,bash,4,,242.973
NLP,1syllable_words;6_4,dish,4,,19.99
NLP,1syllable_words;6_4,fractal,4,,19.948
NLP,2syllable_words;6_5,bash,4,,240.905
NLP,2syllable_words;6_5,dish,4,,18.842
NLP,2syllable_words;6_5,fractal,4,,19.601
NLP,4letter_words;6_2,bash,4,,487.161
NLP,4letter_words;6_2,dish,4,,27.326
NLP,4letter_words;6_2,fractal,4,,28.647
NLP,bigrams_appear_twice;8.2_2,bash,4,,262.187
NLP,bigrams_appear_twice;8.2_2,dish,4,,14.068
NLP,bigrams_appear_twice;8.2_2,fractal,4,,14.576
NLP,bigrams;4_3,bash,4,,259.362
NLP,bigrams;4_3,dish,4,,20.465
NLP,bigrams;4_3,fractal,4,,20.904
NLP,compare_exodus_genesis;8.3_3,bash,4,,485.485
NLP,compare_exodus_genesis;8.3_3,dish,4,,73.831
NLP,compare_exodus_genesis;8.3_3,fractal,4,,74.491
NLP,count_consonant_seq;7_2,bash,4,,245.57
NLP,count_consonant_seq;7_2,dish,4,,18.544
NLP,count_consonant_seq;7_2,fractal,4,,18.926
NLP,count_morphs;7_1,bash,4,,237.633
NLP,count_morphs;7_1,dish,4,,17.159
NLP,count_morphs;7_1,fractal,4,,17.684
NLP,count_trigrams;4_3b,bash,4,,260.618
NLP,count_trigrams;4_3b,dish,4,,14.323
NLP,count_trigrams;4_3b,fractal,4,,14.79
NLP,count_vowel_seq;2_2,bash,4,,236.049
NLP,count_vowel_seq;2_2,dish,4,,17.319
NLP,count_vowel_seq;2_2,fractal,4,,17.571
NLP,count_words;1_1,bash,4,,249.258
NLP,count_words;1_1,dish,4,,18.499
NLP,count_words;1_1,fractal,4,,19.305
NLP,find_anagrams;8.3_2,bash,4,,251.966
NLP,find_anagrams;8.3_2,dish,4,,13.596
NLP,find_anagrams;8.3_2,fractal,4,,13.96
NLP,merge_upper;2_1,bash,4,,247.665
NLP,merge_upper;2_1,dish,4,,19.565
NLP,merge_upper;2_1,fractal,4,,20.438
NLP,sort;3_1,bash,4,,250.785
NLP,sort;3_1,dish,4,,25.237
NLP,sort;3_1,fractal,4,,25.841
NLP,sort_words_by_folding;3_2,bash,4,,251.964
NLP,sort_words_by_folding;3_2,dish,4,,25.437
NLP,sort_words_by_folding;3_2,fractal,4,,25.632
NLP,sort_words_by_num_of_syllables;8_1,bash,4,,250.324
NLP,sort_words_by_num_of_syllables;8_1,dish,4,,18.609
NLP,sort_words_by_num_of_syllables;8_1,fractal,4,,18.984
NLP,sort_words_by_rhyming;3_3,bash,4,,252.056
NLP,sort_words_by_rhyming;3_3,dish,4,,33.96
NLP,sort_words_by_rhyming;3_3,fractal,4,,34.598
NLP,uppercase_by_token;6_1_1,bash,4,,240.062
NLP,uppercase_by_token;6_1_1,dish,4,,12.604
NLP,uppercase_by_token;6_1_1,fractal,4,,13.121
