# fault_soft dataset: per-script timings (fault runs)
run,benchmark,script,dish|4,dish|30,fractal|4,fractal|30,fractal-m|4,fractal-m|30,fractal-r|4,fractal-r|30
3,Analytics,2.sh,211.124,36.639,211.774,30.684,293.219,59.686,255.056,40.91
3,Analytics,1.sh,209.561,36.355,213.786,29.521,293.779,60.496,250.523,37.388
3,Analytics,temp-analytics.sh,243.049,134.16,224.567,41.529,297.653,53.083,268.521,44.539
1,Analytics,1.sh,203.138,35.381,208.69,29.772,287.821,59.749,246.696,39.31
2,Analytics,1.sh,204.171,34.699,210.382,25.199,287.653,56.69,248.868,37.679
1,Analytics,2.sh,204.639,36.322,209.808,30.421,286.727,59.8,249.61,39.722
1,Analytics,3.sh,275.281,62.382,280.78,55.52,367.793,99.671,325.0,53.232
1,Analytics,4.sh,103.214,26.605,102.078,21.887,137.462,48.298,120.027,26.541
1,Analytics,temp-analytics.sh,234.642,128.272,215.443,41.901,289.027,52.159,250.429,43.509
2,Analytics,temp-analytics.sh,238.835,126.846,219.296,41.45,292.105,52.715,251.506,44.846
2,Analytics,2.sh,204.591,34.786,210.353,25.541,287.944,56.814,250.35,38.749
2,Analytics,3.sh,275.353,60.971,282.72,50.44,368.388,95.481,327.56,52.184
2,Analytics,4.sh,102.659,29.807,102.535,16.867,136.042,46.582,119.771,29.158
1,NLP,words_no_vowels;6_3,18.714,54.464,19.384,51.558,,,,
3,NLP,words_no_vowels;6_3,22.217,51.701,22.577,49.132,,,,
3,NLP,vowel_sequencies_gr_1K;8.2_1,23.317,51.371,23.952,49.429,,,,
3,NLP,verses_2om_3om_2instances;6_7,167.403,90.049,168.072,90.506,,,,
3,NLP,uppercase_by_type;6_1_2,21.325,51.005,22.007,48.237,,,,
3,NLP,uppercase_by_token;6_1_1,16.126,43.339,16.646,40.616,,,,
2,NLP,vowel_sequencies_gr_1K;8.2_1,20.062,52.371,20.465,51.342,,,,
3,NLP,sort_words_by_rhyming;3_3,37.758,69.812,38.674,70.785,,,,
3,NLP,sort_words_by_num_of_syllables;8_1,21.548,51.128,22.533,48.557,,,,
3,NLP,sort_words_by_folding;3_2,28.528,58.18,28.952,56.565,,,,
3,NLP,sort;3_1,28.071,58.444,28.921,56.902,,,,
3,NLP,merge_upper;2_1,22.767,51.164,23.41,49.974,,,,
3,NLP,find_anagrams;8.3_2,16.715,43.286,17.013,40.556,,,,
1,NLP,vowel_sequencies_gr_1K;8.2_1,20.058,52.814,20.657,51.703,,,,
1,NLP,verses_2om_3om_2instances;6_7,167.031,88.409,167.483,89.76,,,,
1,NLP,uppercase_by_token;6_1_1,12.604,45.08,13.121,42.158,,,,
3,NLP,count_words;1_1,23.07,50.028,22.175,47.99,,,,
1,NLP,1syllable_words;6_4,19.99,54.461,19.948,52.176,,,,
1,NLP,2syllable_words;6_5,18.842,54.579,19.601,52.233,,,,
1,NLP,4letter_words;6_2,27.326,82.878,28.647,79.296,,,,
1,NLP,bigrams;4_3,20.465,52.022,20.904,51.65,,,,
1,NLP,bigrams_appear_twice;8.2_2,14.068,44.946,14.576,42.227,,,,
1,NLP,compare_exodus_genesis;8.3_3,73.831,54.935,74.491,51.521,,,,
1,NLP,count_consonant_seq;7_2,18.544,51.054,18.926,48.685,,,,
1,NLP,count_morphs;7_1,17.159,52.451,17.684,49.304,,,,
1,NLP,count_trigrams;4_3b,14.323,45.499,14.79,42.881,,,,
1,NLP,count_vowel_seq;2_2,17.319,52.031,17.571,48.412,,,,
1,NLP,count_words;1_1,18.499,52.418,19.305,50.017,,,,
1,NLP,find_anagrams;8.3_2,13.596,44.662,13.96,41.987,,,,
1,NLP,merge_upper;2_1,19.565,54.609,20.438,52.119,,,,
1,NLP,sort;3_1,25.237,61.797,25.841,59.582,,,,
1,NLP,sort_words_by_folding;3_2,25.437,61.043,25.632,60.211,,,,
1,NLP,sort_words_by_num_of_syllables;8_1,18.609,52.284,18.984,50.444,,,,
1,NLP,sort_words_by_rhyming;3_3,33.96,71.982,34.598,71.305,,,,
1,NLP,uppercase_by_type;6_1_2,18.091,52.94,18.459,50.057,,,,
2,NLP,words_no_vowels;6_3,18.544,54.53,19.23,51.208,,,,
3,NLP,count_vowel_seq;2_2,21.824,49.15,20.332,45.071,,,,
3,NLP,count_morphs;7_1,19.736,50.417,20.421,47.38,,,,
2,NLP,4letter_words;6_2,27.014,82.984,28.573,79.349,,,,
3,NLP,count_trigrams;4_3b,17.125,43.575,17.594,40.871,,,,
2,NLP,bigrams_appear_twice;8.2_2,13.981,45.446,14.566,42.891,,,,
2,NLP,compare_exodus_genesis;8.3_3,72.67,54.082,73.272,51.323,,,,
2,NLP,count_consonant_seq;7_2,18.447,51.827,18.635,48.558,,,,
2,NLP,count_morphs;7_1,16.986,52.211,17.608,49.747,,,,
2,NLP,count_trigrams;4_3b,14.307,45.044,14.796,41.976,,,,
2,NLP,count_vowel_seq;2_2,16.893,50.025,17.331,48.47,,,,
2,NLP,count_words;1_1,18.53,52.728,19.039,49.83,,,,
2,NLP,find_anagrams;8.3_2,13.362,45.352,13.782,41.88,,,,
2,NLP,merge_upper;2_1,19.4,53.503,20.259,50.961,,,,
2,NLP,sort;3_1,25.069,59.709,25.602,59.496,,,,
2,NLP,sort_words_by_folding;3_2,25.024,59.416,25.539,58.695,,,,
2,NLP,sort_words_by_num_of_syllables;8_1,18.359,53.073,18.871,49.548,,,,
2,NLP,sort_words_by_rhyming;3_3,33.575,72.321,34.821,71.595,,,,
2,NLP,uppercase_by_type;6_1_2,18.135,52.969,18.683,50.12,,,,
2,NLP,verses_2om_3om_2instances;6_7,164.226,90.954,164.807,88.824,,,,
2,NLP,2syllable_words;6_5,18.643,53.642,19.43,51.66,,,,
2,NLP,1syllable_words;6_4,19.426,54.161,19.841,50.971,,,,
2,NLP,bigrams;4_3,20.57,52.32,20.697,50.73,,,,
3,NLP,2syllable_words;6_5,21.946,52.376,22.778,51.145,,,,
3,NLP,count_consonant_seq;7_2,21.593,49.481,21.791,47.358,,,,
3,NLP,compare_exodus_genesis;8.3_3,73.689,51.313,74.041,48.621,,,,
3,NLP,bigrams_appear_twice;8.2_2,17.006,43.562,17.705,41.003,,,,
3,NLP,bigrams;4_3,23.761,50.256,24.371,49.638,,,,
3,NLP,4letter_words;6_2,34.298,79.975,35.947,76.626,,,,
3,NLP,1syllable_words;6_4,22.756,52.078,23.457,49.726,,,,
2,NLP,uppercase_by_token;6_1_1,12.648,44.654,12.935,42.59,,,,
2,Automation,img_convert.sh,971.821,392.49,987.413,413.28,1245.88,415.28,1248.264,415.291
3,Automation,encrypt_files.sh,659.46,256.69,635.175,273.572,761.269,272.941,753.752,273.93
3,Automation,img_convert.sh,1006.524,391.475,993.571,414.553,1242.719,416.044,1244.196,415.823
3,Automation,nginx.sh,485.632,523.945,464.586,484.219,553.932,490.813,574.455,481.795
3,Automation,pcap.sh,1334.653,363.407,1280.241,364.633,1272.419,367.375,1338.438,366.818
1,Automation,compress_files.sh,220.161,388.357,229.097,335.09,255.954,340.43,261.137,336.921
1,Automation,encrypt_files.sh,651.083,257.397,623.348,270.353,755.559,272.382,744.691,270.983
1,Automation,img_convert.sh,995.281,393.167,992.811,416.744,1240.599,415.037,1236.632,415.802
1,Automation,nginx.sh,430.704,531.336,436.587,484.088,524.85,482.014,537.617,482.693
1,Automation,pcap.sh,1298.472,369.375,1261.487,374.259,1269.482,370.833,1272.143,367.262
1,Automation,to_mp3.sh,312.051,125.899,311.321,130.716,392.252,132.407,388.644,132.394
3,Automation,to_mp3.sh,315.107,125.774,314.05,131.75,392.347,131.316,393.482,132.56
2,Automation,to_mp3.sh,307.805,125.523,312.421,132.088,392.05,131.146,392.166,132.652
2,Automation,pcap.sh,1263.595,359.878,1339.881,362.056,1284.596,371.864,1338.025,369.876
2,Automation,compress_files.sh,225.822,394.821,226.029,343.348,251.328,338.984,259.343,341.894
2,Automation,encrypt_files.sh,668.616,257.25,672.516,269.714,799.302,273.442,787.168,273.575
2,Automation,nginx.sh,2026.97,524.802,1947.12,482.888,2499.209,482.948,2159.112,489.348
3,Automation,compress_files.sh,237.993,386.94,242.684,340.51,284.057,336.747,281.236,334.903
