,,,,time - 4 node,,,,time - 30 node,,,,speedup - 4 node,,,speedup - 4 30 node,,
size,run,benchmark,script,bash|4|t,ahs|4|t,dish|4|t,fractal|4|t,bash|30|t,ahs|30|t,dish|30|t,fractal|30|t,ahs|4|s,dish|4|s,fractal|4|s,ahs|30|s,dish|30|s,fractal|30|s
100 books,1,NLP,1syllable_words;6_4,242.973,,19.99,19.948,285.774,,54.461,52.176,,12.15472736,12.18031883,,5.247314592,5.477115915
100 books,1,NLP,2syllable_words;6_5,240.905,,18.842,19.601,276.851,,54.579,52.233,,12.78553232,12.29044437,,5.07248209,5.300308234
100 books,1,NLP,4letter_words;6_2,487.161,,27.326,28.647,574.706,,82.878,79.296,,17.82774647,17.00565504,,6.93436135,7.247603914
100 books,1,NLP,bigrams_appear_twice;8.2_2,262.187,,14.068,14.576,309.038,,44.946,42.227,,18.6371197,17.98758233,,6.875762026,7.318492907
100 books,1,NLP,bigrams;4_3,259.362,,20.465,20.904,306.038,,52.022,51.65,,12.67344246,12.40729047,,5.882857253,5.925227493
100 books,1,NLP,compare_exodus_genesis;8.3_3,485.485,,73.831,74.491,568.098,,54.935,51.521,,6.575625415,6.517364514,,10.34127605,11.02653287
100 books,1,NLP,count_consonant_seq;7_2,245.57,,18.544,18.926,286.66,,51.054,48.685,,13.24255824,12.97527211,,5.61483919,5.888055869
100 books,1,NLP,count_morphs;7_1,237.633,,17.159,17.684,270.582,,52.451,49.304,,13.84888397,13.43774033,,5.158757698,5.488033425
100 books,1,NLP,count_trigrams;4_3b,260.618,,14.323,14.79,306.437,,45.499,42.881,,18.19576904,17.62123056,,6.735027143,7.146218605
100 books,1,NLP,count_vowel_seq;2_2,236.049,,17.319,17.571,270.907,,52.031,48.412,,13.62948207,13.43401059,,5.206646038,5.595864662
100 books,1,NLP,count_words;1_1,249.258,,18.499,19.305,298.416,,52.418,50.017,,13.47413374,12.91157731,,5.693006219,5.966291461
100 books,1,NLP,find_anagrams;8.3_2,251.966,,13.596,13.96,303.867,,44.662,41.987,,18.53236246,18.0491404,,6.803703372,7.237168647
100 books,1,NLP,merge_upper;2_1,247.665,,19.565,20.438,293.828,,54.609,52.119,,12.65857398,12.11786868,,5.380578293,5.637636946
100 books,1,NLP,sort;3_1,250.785,,25.237,25.841,305.237,,61.797,59.582,,9.937195388,9.70492628,,4.939349807,5.122973381
100 books,1,NLP,sort_words_by_folding;3_2,251.964,,25.437,25.632,305.706,,61.043,60.211,,9.905413374,9.83005618,,5.00804351,5.077245022
100 books,1,NLP,sort_words_by_num_of_syllables;8_1,250.324,,18.609,18.984,302.031,,52.284,50.444,,13.45177065,13.18605141,,5.776738582,5.987451431
100 books,1,NLP,sort_words_by_rhyming;3_3,252.056,,33.96,34.598,305.396,,71.982,71.305,,7.422143698,7.285276606,,4.242671779,4.28295351
100 books,1,NLP,uppercase_by_token;6_1_1,240.062,,12.604,13.121,274.617,,45.08,42.158,,19.04649318,18.29601402,,6.091770186,6.513994971
100 books,1,NLP,uppercase_by_type;6_1_2,248.97,,18.091,18.459,298.731,,52.94,50.057,,13.76209165,13.48772956,,5.642822063,5.967816689
100 books,1,NLP,verses_2om_3om_2instances;6_7,701.038,,167.031,167.483,789.33,,88.409,89.76,,4.197053242,4.185726313,,8.928163422,8.793783422
100 books,1,NLP,vowel_sequencies_gr_1K;8.2_1,245.624,,20.058,20.657,294.925,,52.814,51.703,,12.24568751,11.89059399,,5.584220093,5.704214456
100 books,1,NLP,words_no_vowels;6_3,240.474,,18.714,19.384,275.695,,54.464,51.558,,12.84995191,12.4057986,,5.061967538,5.347278793
33.4 G,1,Analytics,1.sh,1686.93,704.166,203.138,208.69,2730.072,756.737,35.381,29.772,2.395642505,8.304354675,8.083425176,3.607689329,77.16209265,91.69931479
33.4 G,1,Analytics,2.sh,1674.08,684.187,204.639,209.808,2722.242,767.041,36.322,30.421,2.446816441,8.180649827,7.979104705,3.549017588,74.94746985,89.48561849
33.4 G,1,Analytics,3.sh,2022.715,783.313,275.281,280.78,3317.987,850.703,62.382,55.52,2.58225639,7.347819138,7.203914096,3.90028835,53.18821134,59.76201369
33.4 G,1,Analytics,4.sh,535.087,650.844,103.214,102.078,1179.794,724.473,26.605,21.887,0.8221432478,5.184248261,5.241942436,1.62848581,44.3448224,53.90386988
33.7 G,1,Analytics,temp-analytics.sh,1024.035,1206.291,234.642,215.443,722.562,499.31,128.272,41.901,0.8489120784,4.364244253,4.753159768,1.447121027,5.633045404,17.2445049
2.1 G,1,Automation,img_convert.sh,4166.388,,995.281,992.811,4687.253,,393.167,416.744,,4.186142406,4.196557049,,11.92178642,11.2473197
2.1 G,1,Automation,to_mp3.sh,1458.122,,312.051,311.321,1702.41,,125.899,130.716,,4.672704141,4.683660916,,13.52202956,13.02373084
30.0 G,1,Automation,nginx.sh,2140.744,,430.704,436.587,1524.644,,531.336,484.088,,4.970336937,4.903361758,,2.869453604,3.149518269
19.1 G,1,Automation,pcap.sh,5798.584,,1298.472,1261.487,6836.351,,369.375,374.259,,4.465698144,4.596626045,,18.50788765,18.26636367
19.1 G,1,Automation,compress_files.sh,3160.504,,220.161,229.097,3592.245,,388.357,335.09,,14.35542171,13.79548401,,9.249852584,10.72023934
19.1 G,1,Automation,encrypt_files.sh,2626.998,,651.083,623.348,2812.393,,257.397,270.353,,4.034812766,4.214336133,,10.92628508,10.40266984
1 G,2,Classics,nfa-regex.sh,3013.029,434.012,401.236,398.903,3272.038,439.19,444.547,428.568,6.942271181,7.509368551,7.553287391,7.450165077,7.360387091,7.634816412
3 G,2,Classics,sort.sh,254.251,102.932,113.262,102.208,274.585,41.93,53.88,50.761,2.470087048,2.244804083,2.487584142,6.548652516,5.096232368,5.409369398
3 G,2,Classics,top-n.sh,770.037,465.51,234.521,224.369,1799.791,551.658,182.001,179.743,1.654179287,3.283445832,3.432011552,3.262512281,9.888907204,10.01313542
3 G,2,Classics,wf.sh,769.634,460.751,235.409,229.366,1796.495,576.123,181.434,178.758,1.670390298,3.269348241,3.355484248,3.118249054,9.901644675,10.04987189
3 G,2,Classics,spell.sh,730.517,790.114,427.685,449.814,1646.441,1238.015,312.139,313.782,0.9245716441,1.70807253,1.624042382,1.329903919,5.274704539,5.247085556
1 G,2,Classics,diff.sh,94.84,364.988,50.217,55.167,117.83,328.323,39.739,43.002,0.2598441593,1.888603461,1.719143691,0.3588843913,2.96509726,2.740105111
3 G,2,Classics,bi-grams.sh,1220.878,640.702,552.38,574.342,2158.032,1098.557,327.403,327.485,1.905531745,2.210213983,2.125698626,1.96442424,6.591362938,6.589712506
3 G,2,Classics,set-diff.sh,643.106,329.076,182.919,183.27,827.418,343.787,125.343,122.503,1.954278039,3.515796609,3.509063131,2.406775125,6.601230224,6.754267242
3 G,2,Classics,sort-sort.sh,355.842,289.081,206.306,199.23,433.35,342.562,133.214,133.159,1.230942193,1.724826229,1.786086433,1.265026477,3.253036468,3.254380102
28.3 M,2,Classics,shortest-scripts.sh,267.485,165.654,174.144,174.083,328.783,346.654,73.113,71.826,1.614721045,1.535998943,1.536537169,0.9484471548,4.496915733,4.57749283
10 G,2,Unix50,1.sh,97.795,236.85,119.493,110.414,60.157,88.066,27.522,37.05,0.4128984589,0.8184161415,0.8857119568,0.6830899553,2.18577865,1.623670715
10 G,2,Unix50,2.sh,789.935,808.191,351.413,347.739,1254.299,795.813,167.43,159.938,0.9774112803,2.247882122,2.271631885,1.576122783,7.491483008,7.842407683
10 G,2,Unix50,3.sh,2.319,265.957,3.012,3.267,2.848,90.047,7.7,7.455,0.008719454649,0.7699203187,0.709825528,0.03162792764,0.3698701299,0.3820254863
10 G,2,Unix50,4.sh,744.265,699.425,297.416,283.464,1147.077,830.194,159.325,151.595,1.064109804,2.502437663,2.625606779,1.381697531,7.199604582,7.566720538
10 G,2,Unix50,5.sh,97.896,140.519,34.442,29.248,44.717,75.868,25.409,14.073,0.6966744711,2.84234365,3.347100656,0.5894052829,1.759888229,3.17750302
10 G,2,Unix50,6.sh,96.625,132.372,39.869,36.103,55.2,78.858,24.865,23.452,0.7299504427,2.423562166,2.676370385,0.6999923914,2.219987935,2.353743817
10 G,2,Unix50,7.sh,99.647,124.243,86.956,74.129,106.139,77.164,26.832,25.31,0.8020331125,1.145947376,1.344237748,1.375498937,3.955687239,4.193559858
10 G,2,Unix50,8.sh,96.047,125.035,34.72,28.758,45.956,76.282,25.545,12.476,0.7681609149,2.766330645,3.339835872,0.6024488084,1.799021335,3.683552421
10 G,2,Unix50,9.sh,96.134,123.192,19.19,18.164,49.976,73.974,26.169,9.348,0.7803591142,5.009588327,5.292556706,0.6755887204,1.909740533,5.346170304
10 G,2,Unix50,10.sh,134.856,230.476,58.975,57.697,207.22,196.739,38.833,28.855,0.5851194918,2.286663841,2.337313898,1.053273626,5.336183143,7.181424363
10 G,2,Unix50,11.sh,152.163,257.217,70.662,69.699,252.498,247.394,41.829,36.012,0.5915744294,2.153392205,2.183144665,1.020631058,6.036434053,7.011496168
10 G,2,Unix50,12.sh,720.512,810.276,247.619,248.906,1049.057,1345.513,134.172,129.663,0.8892179949,2.90976056,2.894715274,0.7796706535,7.818747578,8.090642666
10 G,2,Unix50,13.sh,96.955,186.153,78.285,63.644,42.261,83.809,25.662,22.796,0.5208350121,1.238487577,1.523395764,0.5042537198,1.646831892,1.853877873
10 G,2,Unix50,14.sh,1006.689,1748.145,864.816,856.803,1481.229,2461.207,772.654,777.16,0.5758612701,1.164049925,1.174936362,0.6018303215,1.917066371,1.905951155
10 G,2,Unix50,15.sh,96.982,130.336,30.892,25.164,42.258,77.911,25.373,12.913,0.7440921925,3.139388839,3.853997775,0.5423881095,1.66547117,3.272516069
10 G,2,Unix50,16.sh,412.189,303.129,167.228,147.093,739.538,338.687,97.392,90.141,1.359780819,2.464832444,2.802233961,2.183544098,7.593416297,8.204235586
10 G,2,Unix50,17.sh,239.209,294.977,106.066,95.998,395.055,283.533,66.552,65.483,0.810941192,2.255284446,2.491812329,1.393329877,5.93603498,6.032939847
10 G,2,Unix50,18.sh,93.171,118.095,15.257,12.156,29.492,70.925,24.486,8.265,0.7889495745,6.106770663,7.664610069,0.4158195277,1.204443355,3.56830006
10 G,2,Unix50,19.sh,93.096,112.43,28.58,15.736,30.141,70.846,24.027,10.831,0.8280352219,3.257382785,5.916115913,0.4254439206,1.254463728,2.782845536
10 G,2,Unix50,20.sh,2.29,118.125,11.077,6.935,2.439,73.891,23.825,8.673,0.01938624339,0.2067346755,0.3302090844,0.03300807947,0.1023714586,0.2812175718
